Item,Details
Black metal scrap,"Dropped by Fulings, Fuling Berserkers, and Fuling shamans in the Plains."
Copper ore,Mined from copper veins in the Black Forest.
Copper scrap,Destroying certain Dvergr structures in the Mistlands.
Flametal ore,Mined from Flametal ore veins in the Ashlands.
Scrap iron,Found in Sunken Crypts in the Swap. Mined from Ancient swords and Ancient armor in the Mistlands.
Silver ore,Mined from veins in the Mountains located with the Wishbone.
Tin ore,"Mined from Tin deposits found near bodies of water in the Black Forest, also sometimes drops from Barrels."
Black metal,Refined in a Blast furnace from Black metal scrap.
Bronze,Crafted at a Forge by combining two Copper with one Tin.
Copper,Refined in a Smelter from Copper ore.
Flametal,Refined in a Blast furnace from Flametal ore.
Iron,Refined in a Smelter from Scrap iron. Looted from chests.
Silver,Refined in a Smelter from Silver ore.
Tin,Refined in a Smelter from Tin ore.
Ancient bark,Ancient Trees in the Swamp.
Ashwood,Chopping down scorched Trees in the Ashlands.
Core wood,Pine in the Black Forest.
Fine wood,Birch and Oak trees. Shipwrecks in the Black Forest.
Wood,All trees. Branches on the ground. Dropped by Greydwarfs in the Meadows and Black Forest.
Yggdrasil wood,Yggdrasil shoots in the Mistlands.
Blueberries,Bushes in the Black Forest.
Carrot,Grown from planting Carrot seeds using the Cultivator tool.
Cloudberries,Bushes in the Plains.
Cooked asksvin tail,Cook Asksvin tail on a Cooking station.
Cooked bonemaw meat,Cook Bonemaw meat on an Iron cooking station.
Cooked deer meat,Cook Deer meat on a Cooking station.
Cooked fish,Cook Raw fish on a Cooking station.
Cooked serpent meat,Cook Serpent meat on an Iron cooking station.
Cooked volture meat,Cook Volture meat on a Cooking station.
Fiddlehead,On the ground in the Ashlands.
Honey,Produced by player-built Beehives. Dropped from wild beehives found in Abandoned houses.
Jotun puffs,On the ground in the Mistlands.
Magecap,On the ground in the Mistlands.
Mushroom,On the ground in the Meadows and Black Forest.
Onion,Grown from planting Onion seeds using the Cultivator tool.
Raspberries,Bushes in the Meadows.
Royal jelly,Found in piles in Infested Mines in the Mislands. Dropped by Seeker Brood.
Smoke puff,On the ground in the Ashlands.
Turnip,Grown from planting Turnip seeds using the Cultivator.
Vineberry cluster,On edifications in the Ashlands. Grown from planting Vineberry seeds using the Cultivator.
Yellow mushroom,"On the floor inside Burial Chambers, Sunken Crypts and Troll_Caves."
Bread dough,Crafted from Barley flour at a Cauldron.
Raw fish,Crafted from all types of Fish at a Cauldron.
Unbaked lox pie,"Crafted from Barley flour, Cloudberries and Lox meat at a Cauldron."
Uncooked fish n' bread,Crafted from Anglerfish and Bread dough at a Cauldron.
Uncooked honey glazed chicken,"Crafted from Chicken meat, Honey and Jotun puffs at a Cauldron."
Uncooked magically stuffed shroom,"Crafted from Magecap, Blood clot and Turnip at a Cauldron."
Uncooked meat platter,"Crafted from Seeker meat, Lox meat and Hare meat at a Cauldron."
Uncooked misthare supreme,"Crafted from Hare meat, Jotun puffs and Carrot at a Cauldron."
Uncooked piquant pie,"Crafted from Asksvin tail, Vineberry cluster and Barley flour at a Cauldron."
